ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
6340380,HP428830,7/2/2008 0:00,049XX N MARINE DR,810,THEFT,OVER $500,STREET,FALSE,FALSE,2024,20,48,3,6,1169842,1933434,2008,2/4/2016 6:33,41.97284532,-87.65083157,"(41.972845315, -87.65083157)"
6340381,HP428814,7/2/2008 0:00,013XX W ARDMORE AVE,890,THEFT,FROM BUILDING,OTHER,FALSE,FALSE,2013,20,48,77,6,1166245,1938965,2008,2/4/2016 6:33,41.98810042,-87.66389945,"(41.988100417, -87.663899454)"
6340383,HP428918,7/2/2008 9:30,006XX N LAKE SHORE DR,890,THEFT,FROM BUILDING,HOTEL/MOTEL,FALSE,FALSE,1834,18,42,8,6,1179792,1904743,2008,2/4/2016 6:33,41.89389317,-87.61512764,"(41.893893173, -87.615127644)"
6340384,HP428872,7/2/2008 4:00,026XX W WALTON ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1311,12,26,24,6,1158534,1906220,2008,2/4/2016 6:33,41.89840794,-87.69316063,"(41.898407943, -87.693160628)"
6340385,HP428925,7/2/2008 0:00,053XX S KEDZIE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,FALSE,TRUE,822,8,14,63,26,1155950,1869176,2008,2/4/2016 6:33,41.79680746,-87.70364915,"(41.796807462, -87.703649153)"
6340386,HP428924,7/2/2008 2:00,010XX E 67TH ST,810,THEFT,OVER $500,CEMETARY,FALSE,FALSE,321,3,5,69,6,1184464,1860800,2008,2/4/2016 6:33,41.77320226,-87.59934819,"(41.773202255, -87.599348192)"
6340387,HP428856,7/2/2008 0:00,0000X S WABASH AVE,890,THEFT,FROM BUILDING,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,123,1,42,32,6,1176816,1900209,2008,2/4/2016 6:33,41.88151948,-87.6261946,"(41.881519476, -87.626194599)"
6340388,HP428693,7/2/2008 0:01,017XX W 91ST PL,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,FALSE,FALSE,2221,22,21,73,14,1166392,1844002,2008,2/4/2016 6:33,41.72751031,-87.6660732,"(41.727510312, -87.666073198)"
6340390,HP428541,7/1/2008 9:00,097XX S GREENWOOD AVE,1340,CRIMINAL DAMAGE,TO STATE SUP PROP,"SCHOOL, PUBLIC, GROUNDS",FALSE,FALSE,511,5,8,50,14,1185261,1840544,2008,2/4/2016 6:33,41.717599,-87.59706196,"(41.717598999, -87.597061964)"
6340391,HP428962,7/2/2008 0:00,074XX S PHILLIPS AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,334,3,7,43,14,1193934,1856157,2008,2/4/2016 6:33,41.7602345,-87.56478616,"(41.760234497, -87.564786164)"
6340392,HP428958,7/2/2008 0:30,106XX S EGGLESTON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,OTHER,FALSE,FALSE,2233,22,34,49,14,1175169,1834436,2008,2/4/2016 6:33,41.70106866,-87.63420627,"(41.701068663, -87.634206269)"
6340393,HP428956,7/1/2008 22:00,038XX N ASHLAND AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1923,19,47,6,6,1164968,1925572,2008,2/4/2016 6:33,41.95137681,-87.66897834,"(41.951376812, -87.668978338)"
6340394,HP428944,7/1/2008 15:00,057XX S NEWLAND AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,811,8,23,56,6,1131039,1865784,2008,2/4/2016 6:33,41.7879636,-87.7950802,"(41.787963599, -87.795080198)"
